ID,Superficie,Produccion,Riego,Autoconsumo,Venta,Semilla_criolla,Semilla_mejorada,Fertilizantes,Animales_tiro,Herbicidas,Insecticidas_fungicidas,Indigena,Tractor,Otra_maquinaria,Rendimiento,Indice
P1,1.5,0.7,0,1,0,1,0,1,0,1,1,1,0,0,0.466666667,0.416666667
P2,0.38,0.35,0,1,0,1,0,1,0,0,0,0,0,0,0.921052632,0.083333333
P3,0.34,0.25,0,1,0,0,0,0,0,0,0,1,0,0,0.735294118,0
P4,0.47,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0.425531915,0
P5,2,1,0,1,0,1,0,1,0,1,1,1,0,0,0.5,0.416666667
P6,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0.416666667
P7,1,0.5,0,1,0,1,0,1,0,0,0,0,0,0,0.5,0.083333333
P8,0.69,0.3,0,1,0,1,0,0,0,0,0,0,0,0,0.434782609,0
P9,0.34,0.15,0,1,0,0,0,0,0,0,0,1,0,0,0.441176471,0
P10,0.41,0.15,0,1,0,1,0,1,0,0,1,0,0,0,0.365853659,0.25
P11,0.2,0.24,0,1,0,1,0,1,0,1,1,1,0,0,1.2,0.416666667
P12,0.3,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0.4,0
P13,0.5,0.6,0,1,0,1,0,1,0,0,1,0,0,0,1.2,0.25
P14,1,0.15,0,1,0,1,0,1,0,0,1,1,0,0,0.15,0.25
P15,0.18,0.1,0,1,0,1,0,1,0,0,0,1,0,0,0.555555556,0.083333333
P16,0.4,0.7,0,1,0,1,0,1,0,1,1,1,0,0,1.75,0.416666667
P17,0.41,0.18,0,1,0,0,0,0,0,0,0,1,0,0,0.43902439,0
P18,1,0.625,0,1,0,1,0,1,0,0,0,0,0,0,0.625,0.083333333
P19,0.3,0.21,0,1,0,1,0,1,0,1,1,1,0,0,0.7,0.416666667
P20,0.5,0.5,0,1,0,1,0,1,0,0,1,1,0,0,1,0.25
P21,0.7,0.1,0,1,0,1,0,1,0,0,0,0,0,0,0.142857143,0.083333333
P22,0.6,0.5,0,1,0,1,0,1,0,0,0,0,0,0,0.833333333,0.083333333
P23,0.9,0.3,0,1,0,1,1,1,0,0,0,0,0,0,0.333333333,0.166666667
P24,0.15,0.3,0,1,0,0,0,0,0,0,0,0,0,0,2,0
P25,0.15,0.15,0,1,0,0,0,0,0,0,0,1,0,0,1,0
P26,0.31,0.15,0,1,0,0,0,0,0,0,0,1,0,0,0.483870968,0
P27,0.5,0.3,0,1,0,1,0,1,0,1,0,0,0,0,0.6,0.25
P28,0.23,0.18,0,1,0,0,0,0,0,0,0,1,0,0,0.782608696,0
P29,0.4,0.15,0,1,0,1,1,1,0,0,1,1,0,0,0.375,0.333333333
P30,0.5,0.3,0,1,0,0,0,0,0,0,0,1,0,0,0.6,0
P31,0.2,0.24,0,1,0,0,0,0,0,0,0,1,0,0,1.2,0
P32,1.2,0.7,0,1,0,1,0,1,0,0,0,1,0,0,0.583333333,0.083333333
P33,0.2,0.36,0,1,0,0,0,0,0,0,0,1,0,0,1.8,0
P34,0.15,0.09,0,1,0,0,0,0,0,0,0,1,0,0,0.6,0
P35,0.3,0.12,0,1,0,0,0,0,0,0,0,1,0,0,0.4,0
P36,0.5,0.45,0,1,0,0,0,0,0,0,0,1,0,0,0.9,0
P37,0.31,0.4,0,1,0,0,0,0,0,0,0,1,0,0,1.290322581,0
P38,0.3,0.2,0,1,0,1,1,1,0,1,1,0,0,0,0.666666667,0.5
P39,0.75,0.45,0,1,0,1,0,1,0,0,0,1,0,0,0.6,0.083333333
P40,0.25,0.3,0,1,0,0,0,0,0,0,0,1,0,0,1.2,0
P41,0.45,0.36,0,1,0,1,1,1,0,0,0,1,0,0,0.8,0.166666667
P42,0.5,0.45,0,1,0,0,0,0,0,0,0,0,0,0,0.9,0
P43,0.3,0.1,0,1,0,0,0,0,0,0,0,1,0,0,0.333333333,0
P44,1,3,0,0,1,1,0,1,0,1,0,1,0,0,3,0.25
P45,0.41,0.8,0,1,0,0,0,0,0,0,0,1,0,0,1.951219512,0
P46,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
P47,0.3,0.5,0,1,0,0,0,0,0,0,0,1,0,0,1.666666667,0
P48,0.18,0.4,0,1,0,0,0,0,0,0,0,1,0,0,2.222222222,0
P49,2,3,0,0,1,1,0,1,0,0,0,1,0,0,1.5,0.083333333
P50,1,2,0,0,1,1,0,1,0,0,0,1,0,0,2,0.083333333
P51,2,1,0,1,0,1,0,1,0,0,0,1,0,0,0.5,0.083333333
P52,1,0.5,0,1,0,1,0,1,0,0,0,1,0,0,0.5,0.083333333
P53,0.3,0.8,0,0,0,1,0,1,0,1,1,1,0,0,2.666666667,0.416666667
P54,0.31,0.3,0,1,0,1,0,1,0,0,0,1,0,0,0.967741935,0.083333333
P55,0.62,0.5,0,1,0,1,0,1,0,0,0,1,0,0,0.806451613,0.083333333
P56,0.62,0.5,0,0,0,1,0,1,0,0,0,1,0,0,0.806451613,0.083333333
P57,0.4,1,0,1,0,1,0,1,0,1,1,1,0,0,2.5,0.416666667
P58,0.24,0.6,0,1,0,1,0,0,0,0,0,1,0,0,2.5,0
P59,0.62,0.3,0,0,0,1,0,1,0,0,0,1,0,0,0.483870968,0.083333333
P60,0.41,0.5,0,1,0,0,0,0,0,0,0,1,0,0,1.219512195,0
P61,0.55,0.4,0,1,0,1,0,1,0,1,1,1,0,0,0.727272727,0.416666667
P62,0.69,0.7,0,1,0,1,0,1,0,0,0,1,0,0,1.014492754,0.083333333
P63,1,2,0,0,0,1,0,1,0,0,0,1,0,0,2,0.083333333
P64,0.5,0.5,0,0,0,1,0,1,0,0,0,1,0,0,1,0.083333333
P65,0.13,0.4,0,1,0,0,0,0,0,0,0,1,0,0,3.076923077,0
P66,0.5,0.5,0,0,0,1,0,1,0,0,0,1,0,0,1,0.083333333
P67,0.34,0.4,0,0,0,0,0,0,0,0,0,1,0,0,1.176470588,0
P68,0.2,0.3,0,1,0,1,0,1,0,0,0,1,0,0,1.5,0.083333333
P69,0.69,0.5,0,1,0,1,0,1,0,0,0,1,0,0,0.724637681,0.083333333
P70,1,2,0,0,0,1,0,1,0,1,1,1,0,0,2,0.416666667
P71,0.89,1,0,0,0,1,0,1,0,0,0,1,0,0,1.123595506,0.083333333
P72,0.34,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1.470588235,0
P73,1.79,0.8,0,0,0,1,0,1,0,0,0,1,0,0,0.446927374,0.083333333
P74,1.03,0.5,0,0,0,1,0,1,0,0,0,1,0,0,0.485436893,0.083333333
P75,0.34,0.2,0,1,0,1,0,1,0,0,0,1,0,0,0.588235294,0.083333333
P76,0.38,0.8,0,1,0,0,0,0,0,0,0,1,0,0,2.105263158,0
P77,0.2,0.2,0,1,0,0,0,0,0,0,0,1,0,0,1,0
P78,0.69,0.2,0,1,0,1,0,1,0,0,0,1,0,0,0.289855072,0.083333333
P79,0.2,0.8,0,1,0,1,0,1,0,1,1,1,0,0,4,0.416666667
P80,2,3.6,0,0,1,1,0,0,1,1,0,0,1,0,1.8,0.416666667
P81,0.75,1,0,1,0,1,0,0,1,1,0,0,1,0,1.333333333,0.416666667
P82,0.75,1.5,0,1,0,1,0,0,1,1,0,0,0,0,2,0.25
P83,1.3,1.5,0,1,0,1,0,0,0,0,0,0,1,0,1.153846154,0.166666667
P84,1.8,2.5,0,0,1,1,0,1,1,0,0,0,1,0,1.388888889,0.333333333
P85,1,0.5,0,1,0,1,0,1,1,0,0,0,1,0,0.5,0.333333333
P86,2.08,3,0,0,1,1,0,1,1,0,0,0,1,0,1.442307692,0.333333333
P87,1.5,0.6,0,1,0,1,0,1,1,0,0,0,0,0,0.4,0.166666667
P88,0.9,3.15,0,0,0,1,0,0,0,1,0,1,0,0,3.5,0.166666667
P89,0.5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0
P90,0.25,0.3,0,1,0,0,0,0,0,0,0,1,0,0,1.2,0
P91,0.75,0.3,0,0,0,1,0,0,0,1,1,1,0,0,0.4,0.333333333
P92,1,0.8,0,1,0,1,0,0,0,1,1,1,0,0,0.8,0.333333333
P93,0.5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0
P94,0.5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0
P95,0.5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0
P96,1.5,0.6,0,1,0,1,0,0,0,1,1,1,0,0,0.4,0.333333333
P97,0.5,0.6,0,1,0,1,0,0,0,1,1,1,0,0,1.2,0.333333333
P98,0.25,0.3,0,1,0,0,0,0,0,0,0,1,0,0,1.2,0
P99,2,1.5,0,1,0,1,0,0,0,0,1,1,0,0,0.75,0.166666667
P100,0.5,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0.2,0
P101,0.1,0.08,0,1,0,0,0,0,0,0,0,1,0,0,0.8,0
P102,0.5,0.4,0,1,0,0,0,0,0,0,0,1,0,0,0.8,0
P103,0.25,0.08,0,1,0,1,0,0,1,0,0,1,0,0,0.32,0.083333333
P104,0.75,0.35,0,0,0,1,0,0,1,0,0,1,1,0,0.466666667,0.25
P105,0.5,0.45,0,0,0,1,0,0,1,0,0,1,1,0,0.9,0.25
P106,0.75,0.15,0,1,0,1,0,0,1,0,0,1,0,0,0.2,0.083333333
P107,1.25,0.4,0,1,0,1,0,0,1,0,0,1,0,0,0.32,0.083333333
P108,1.5,0.9,0,1,0,1,0,0,1,0,0,1,0,0,0.6,0.083333333
P109,0.4,0.2,0,1,0,1,0,1,1,0,0,1,0,0,0.5,0.166666667
P110,0.3,0.2,0,1,0,1,0,0,1,0,0,1,0,0,0.666666667,0.083333333
P111,1,0.1,0,1,0,1,0,0,1,0,0,1,1,0,0.1,0.25
P112,1.25,1,0,0,0,1,0,0,1,0,0,1,0,0,0.8,0.083333333
P113,1,0.3,0,1,0,1,0,0,1,0,0,1,1,0,0.3,0.25
P114,2,0.1,0,0,0,1,0,0,1,0,0,1,0,0,0.05,0.083333333
P115,1,0.3,0,1,0,1,0,0,1,0,0,1,1,0,0.3,0.25
P116,1,0.15,0,1,0,1,0,1,1,0,0,1,1,0,0.15,0.333333333
P117,1,0.3,0,1,0,1,0,1,1,0,0,1,1,0,0.3,0.333333333
P118,2,0.15,0,0,0,1,0,1,1,0,0,1,1,0,0.075,0.333333333
P119,2,0.05,0,0,0,1,0,1,1,0,0,1,1,0,0.025,0.333333333
P120,0.8,0.15,0,1,0,1,0,0,1,0,0,1,1,0,0.1875,0.25
P121,1.5,0.1,0,0,0,1,0,0,1,0,0,1,1,0,0.066666667,0.25
P123,0.5,0.3,0,1,0,0,0,0,0,0,0,1,0,0,0.6,0
P124,1,0.7,0,0,0,1,0,1,0,0,0,1,0,0,0.7,0.083333333
P125,2,1.5,0,1,0,1,0,1,1,0,0,1,0,0,0.75,0.166666667
P126,2,1.5,0,1,0,0,0,1,1,1,0,0,0,1,0.75,0.416666667
P127,0.5,0.1,0,1,0,1,0,0,1,0,0,0,1,0,0.2,0.25
P128,0.5,0.3,0,1,0,1,0,0,1,0,0,0,0,0,0.6,0.083333333
P129,0.75,0.5,0,1,0,1,0,1,1,0,0,0,0,0,0.666666667,0.166666667
P130,2,3,0,1,0,1,0,1,1,0,0,0,0,0,1.5,0.166666667
P131,2,3,0,1,0,1,0,1,1,0,0,0,0,0,1.5,0.166666667
P132,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0.166666667
P134,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0.416666667
P135,2,10,0,0,1,1,0,1,0,1,1,0,0,0,5,0.416666667
P136,0.08,0.3,0,1,0,0,0,0,0,0,0,0,0,0,3.75,0
P138,0.1875,0.055,0,1,0,0,1,1,0,0,0,0,0,0,0.293333333,0.166666667
P139,0.628,0.5,0,1,0,1,0,1,0,0,0,0,0,0,0.796178344,0.083333333
P140,0.0314,0.1,0,1,0,1,0,1,0,1,1,0,0,0,3.184713376,0.416666667
P141,0.1884,0.25,0,0,1,1,0,0,0,0,0,0,0,0,1.326963907,0
P142,1,2,0,1,0,1,0,0,0,1,1,0,0,0,2,0.333333333
P143,0.1256,0.006,0,1,0,1,0,1,0,0,0,0,0,0,0.047770701,0.083333333
P144,1,0.1,0,1,0,1,0,1,0,1,0,0,0,0,0.1,0.25
P146,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0.333333333
P148,0.5652,0.07,0,1,0,1,0,1,0,1,1,0,0,0,0.123849965,0.416666667
P149,1,0.8,0,1,0,1,0,1,0,0,0,0,0,0,0.8,0.083333333
P150,0.1884,0.5,0,1,0,0,0,0,0,0,0,1,0,0,2.653927813,0
P151,0.0628,0.3,0,1,0,0,0,0,0,0,0,0,0,0,4.777070064,0
P152,0.314,0.8,0,1,0,0,0,0,0,0,0,0,0,0,2.547770701,0
P153,0.1256,0.08,0,1,0,0,0,0,0,0,0,0,0,0,0.636942675,0
P154,0.1884,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0.530785563,0
P155,0.1884,0.08,0,1,0,0,0,0,0,0,0,0,0,0,0.42462845,0
P156,0.1256,0.35,0,1,0,0,0,0,0,0,0,0,0,0,2.786624204,0
P157,0.157,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0.636942675,0
P158,0.2826,0.3,0,1,0,0,0,0,0,0,0,0,0,0,1.061571125,0
P159,0.157,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0.636942675,0
P160,0.2198,0.4,0,1,0,0,0,0,0,0,0,0,0,0,1.819836215,0
P161,0.314,0.6,0,1,0,1,0,1,0,0,0,0,0,0,1.910828025,0.083333333
P162,0.1256,0.08,0,1,0,0,0,0,0,0,0,0,0,0,0.636942675,0
P163,0.2512,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0.99522293,0
P164,0.8792,0.8,0,1,0,1,0,0,0,0,0,0,0,0,0.909918107,0
P165,0.2512,0.3,0,1,0,0,0,0,0,0,0,0,0,0,1.194267516,0
P166,0.1884,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
P167,0.0628,0.2,0,1,0,0,0,0,0,0,0,0,0,0,3.184713376,0
P168,0.5,0.8,0,1,0,0,0,0,0,0,0,0,0,0,1.6,0
P169,0.5652,1.5,0,1,0,1,0,1,0,1,1,0,0,0,2.653927813,0.416666667
P170,0.314,0.3,0,1,0,0,0,0,0,0,0,0,0,0,0.955414013,0
P171,0.314,0.2,0,1,0,1,0,0,0,0,0,0,0,0,0.636942675,0
P172,0.1256,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
P173,0.157,0.075,0,1,0,0,0,0,0,0,0,0,0,0,0.477707006,0
