Superficie,Produccion,Riego,Autoconsumo,Venta,Semilla_criolla,Semilla_mejorada,Fertilizantes,Animales_tiro,Herbicidas,Insecticidas_fungicidas,Indigena,Tractor,Otra_maquinaria,Rendimiento,Indice
1.5,0.7,0,1,0,1,0,1,0,1,1,1,0,0,0.466666667,0.416666667
0.38,0.35,0,1,0,1,0,1,0,0,0,0,0,0,0.921052632,0.083333333
0.34,0.25,0,1,0,0,0,0,0,0,0,1,0,0,0.735294118,0
0.47,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0.425531915,0
2,1,0,1,0,1,0,1,0,1,1,1,0,0,0.5,0.416666667
1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0.416666667
1,0.5,0,1,0,1,0,1,0,0,0,0,0,0,0.5,0.083333333
0.69,0.3,0,1,0,1,0,0,0,0,0,0,0,0,0.434782609,0
0.34,0.15,0,1,0,0,0,0,0,0,0,1,0,0,0.441176471,0
0.41,0.15,0,1,0,1,0,1,0,0,1,0,0,0,0.365853659,0.25
0.2,0.24,0,1,0,1,0,1,0,1,1,1,0,0,1.2,0.416666667
0.3,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0.4,0
0.5,0.6,0,1,0,1,0,1,0,0,1,0,0,0,1.2,0.25
1,0.15,0,1,0,1,0,1,0,0,1,1,0,0,0.15,0.25
0.18,0.1,0,1,0,1,0,1,0,0,0,1,0,0,0.555555556,0.083333333
0.4,0.7,0,1,0,1,0,1,0,1,1,1,0,0,1.75,0.416666667
0.41,0.18,0,1,0,0,0,0,0,0,0,1,0,0,0.43902439,0
1,0.625,0,1,0,1,0,1,0,0,0,0,0,0,0.625,0.083333333
0.3,0.21,0,1,0,1,0,1,0,1,1,1,0,0,0.7,0.416666667
0.5,0.5,0,1,0,1,0,1,0,0,1,1,0,0,1,0.25
0.7,0.1,0,1,0,1,0,1,0,0,0,0,0,0,0.142857143,0.083333333
0.6,0.5,0,1,0,1,0,1,0,0,0,0,0,0,0.833333333,0.083333333
0.9,0.3,0,1,0,1,1,1,0,0,0,0,0,0,0.333333333,0.166666667
0.15,0.3,0,1,0,0,0,0,0,0,0,0,0,0,2,0
0.15,0.15,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0.31,0.15,0,1,0,0,0,0,0,0,0,1,0,0,0.483870968,0
0.5,0.3,0,1,0,1,0,1,0,1,0,0,0,0,0.6,0.25
0.23,0.18,0,1,0,0,0,0,0,0,0,1,0,0,0.782608696,0
0.4,0.15,0,1,0,1,1,1,0,0,1,1,0,0,0.375,0.333333333
0.5,0.3,0,1,0,0,0,0,0,0,0,1,0,0,0.6,0
0.2,0.24,0,1,0,0,0,0,0,0,0,1,0,0,1.2,0
1.2,0.7,0,1,0,1,0,1,0,0,0,1,0,0,0.583333333,0.083333333
0.2,0.36,0,1,0,0,0,0,0,0,0,1,0,0,1.8,0
0.15,0.09,0,1,0,0,0,0,0,0,0,1,0,0,0.6,0
0.3,0.12,0,1,0,0,0,0,0,0,0,1,0,0,0.4,0
0.5,0.45,0,1,0,0,0,0,0,0,0,1,0,0,0.9,0
0.31,0.4,0,1,0,0,0,0,0,0,0,1,0,0,1.290322581,0
0.3,0.2,0,1,0,1,1,1,0,1,1,0,0,0,0.666666667,0.5
0.75,0.45,0,1,0,1,0,1,0,0,0,1,0,0,0.6,0.083333333
0.25,0.3,0,1,0,0,0,0,0,0,0,1,0,0,1.2,0
0.45,0.36,0,1,0,1,1,1,0,0,0,1,0,0,0.8,0.166666667
0.5,0.45,0,1,0,0,0,0,0,0,0,0,0,0,0.9,0
0.3,0.1,0,1,0,0,0,0,0,0,0,1,0,0,0.333333333,0
1,3,0,0,1,1,0,1,0,1,0,1,0,0,3,0.25
0.41,0.8,0,1,0,0,0,0,0,0,0,1,0,0,1.951219512,0
0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0.3,0.5,0,1,0,0,0,0,0,0,0,1,0,0,1.666666667,0
0.18,0.4,0,1,0,0,0,0,0,0,0,1,0,0,2.222222222,0
2,3,0,0,1,1,0,1,0,0,0,1,0,0,1.5,0.083333333
1,2,0,0,1,1,0,1,0,0,0,1,0,0,2,0.083333333
2,1,0,1,0,1,0,1,0,0,0,1,0,0,0.5,0.083333333
1,0.5,0,1,0,1,0,1,0,0,0,1,0,0,0.5,0.083333333
0.3,0.8,0,0,0,1,0,1,0,1,1,1,0,0,2.666666667,0.416666667
0.31,0.3,0,1,0,1,0,1,0,0,0,1,0,0,0.967741935,0.083333333
0.62,0.5,0,1,0,1,0,1,0,0,0,1,0,0,0.806451613,0.083333333
0.62,0.5,0,0,0,1,0,1,0,0,0,1,0,0,0.806451613,0.083333333
0.4,1,0,1,0,1,0,1,0,1,1,1,0,0,2.5,0.416666667
0.24,0.6,0,1,0,1,0,0,0,0,0,1,0,0,2.5,0
0.62,0.3,0,0,0,1,0,1,0,0,0,1,0,0,0.483870968,0.083333333
0.41,0.5,0,1,0,0,0,0,0,0,0,1,0,0,1.219512195,0
0.55,0.4,0,1,0,1,0,1,0,1,1,1,0,0,0.727272727,0.416666667
0.69,0.7,0,1,0,1,0,1,0,0,0,1,0,0,1.014492754,0.083333333
1,2,0,0,0,1,0,1,0,0,0,1,0,0,2,0.083333333
0.5,0.5,0,0,0,1,0,1,0,0,0,1,0,0,1,0.083333333
0.13,0.4,0,1,0,0,0,0,0,0,0,1,0,0,3.076923077,0
0.5,0.5,0,0,0,1,0,1,0,0,0,1,0,0,1,0.083333333
0.34,0.4,0,0,0,0,0,0,0,0,0,1,0,0,1.176470588,0
0.2,0.3,0,1,0,1,0,1,0,0,0,1,0,0,1.5,0.083333333
0.69,0.5,0,1,0,1,0,1,0,0,0,1,0,0,0.724637681,0.083333333
1,2,0,0,0,1,0,1,0,1,1,1,0,0,2,0.416666667
0.89,1,0,0,0,1,0,1,0,0,0,1,0,0,1.123595506,0.083333333
0.34,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1.470588235,0
1.79,0.8,0,0,0,1,0,1,0,0,0,1,0,0,0.446927374,0.083333333
1.03,0.5,0,0,0,1,0,1,0,0,0,1,0,0,0.485436893,0.083333333
0.34,0.2,0,1,0,1,0,1,0,0,0,1,0,0,0.588235294,0.083333333
0.38,0.8,0,1,0,0,0,0,0,0,0,1,0,0,2.105263158,0
0.2,0.2,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0.69,0.2,0,1,0,1,0,1,0,0,0,1,0,0,0.289855072,0.083333333
0.2,0.8,0,1,0,1,0,1,0,1,1,1,0,0,4,0.416666667
2,3.6,0,0,1,1,0,0,1,1,0,0,1,0,1.8,0.416666667
0.75,1,0,1,0,1,0,0,1,1,0,0,1,0,1.333333333,0.416666667
0.75,1.5,0,1,0,1,0,0,1,1,0,0,0,0,2,0.25
1.3,1.5,0,1,0,1,0,0,0,0,0,0,1,0,1.153846154,0.166666667
1.8,2.5,0,0,1,1,0,1,1,0,0,0,1,0,1.388888889,0.333333333
1,0.5,0,1,0,1,0,1,1,0,0,0,1,0,0.5,0.333333333
2.08,3,0,0,1,1,0,1,1,0,0,0,1,0,1.442307692,0.333333333
1.5,0.6,0,1,0,1,0,1,1,0,0,0,0,0,0.4,0.166666667
0.9,3.15,0,0,0,1,0,0,0,1,0,1,0,0,3.5,0.166666667
0.5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.25,0.3,0,1,0,0,0,0,0,0,0,1,0,0,1.2,0
0.75,0.3,0,0,0,1,0,0,0,1,1,1,0,0,0.4,0.333333333
1,0.8,0,1,0,1,0,0,0,1,1,1,0,0,0.8,0.333333333
0.5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1.5,0.6,0,1,0,1,0,0,0,1,1,1,0,0,0.4,0.333333333
0.5,0.6,0,1,0,1,0,0,0,1,1,1,0,0,1.2,0.333333333
0.25,0.3,0,1,0,0,0,0,0,0,0,1,0,0,1.2,0
2,1.5,0,1,0,1,0,0,0,0,1,1,0,0,0.75,0.166666667
0.5,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0.2,0
0.1,0.08,0,1,0,0,0,0,0,0,0,1,0,0,0.8,0
0.5,0.4,0,1,0,0,0,0,0,0,0,1,0,0,0.8,0
0.25,0.08,0,1,0,1,0,0,1,0,0,1,0,0,0.32,0.083333333
0.75,0.35,0,0,0,1,0,0,1,0,0,1,1,0,0.466666667,0.25
0.5,0.45,0,0,0,1,0,0,1,0,0,1,1,0,0.9,0.25
0.75,0.15,0,1,0,1,0,0,1,0,0,1,0,0,0.2,0.083333333
1.25,0.4,0,1,0,1,0,0,1,0,0,1,0,0,0.32,0.083333333
1.5,0.9,0,1,0,1,0,0,1,0,0,1,0,0,0.6,0.083333333
0.4,0.2,0,1,0,1,0,1,1,0,0,1,0,0,0.5,0.166666667
0.3,0.2,0,1,0,1,0,0,1,0,0,1,0,0,0.666666667,0.083333333
1,0.1,0,1,0,1,0,0,1,0,0,1,1,0,0.1,0.25
1.25,1,0,0,0,1,0,0,1,0,0,1,0,0,0.8,0.083333333
1,0.3,0,1,0,1,0,0,1,0,0,1,1,0,0.3,0.25
2,0.1,0,0,0,1,0,0,1,0,0,1,0,0,0.05,0.083333333
1,0.3,0,1,0,1,0,0,1,0,0,1,1,0,0.3,0.25
1,0.15,0,1,0,1,0,1,1,0,0,1,1,0,0.15,0.333333333
1,0.3,0,1,0,1,0,1,1,0,0,1,1,0,0.3,0.333333333
2,0.15,0,0,0,1,0,1,1,0,0,1,1,0,0.075,0.333333333
2,0.05,0,0,0,1,0,1,1,0,0,1,1,0,0.025,0.333333333
0.8,0.15,0,1,0,1,0,0,1,0,0,1,1,0,0.1875,0.25
1.5,0.1,0,0,0,1,0,0,1,0,0,1,1,0,0.066666667,0.25
0.0039,0.0061,0,0,0,0,0,0,0,0,0,1,0,0,1.564102564,0
0.5,0.3,0,1,0,0,0,0,0,0,0,1,0,0,0.6,0
1,0.7,0,0,0,1,0,1,0,0,0,1,0,0,0.7,0.083333333
2,1.5,0,1,0,1,0,1,1,0,0,1,0,0,0.75,0.166666667
2,1.5,0,1,0,0,0,1,1,1,0,0,0,1,0.75,0.416666667
0.5,0.1,0,1,0,1,0,0,1,0,0,0,1,0,0.2,0.25
0.5,0.3,0,1,0,1,0,0,1,0,0,0,0,0,0.6,0.083333333
0.75,0.5,0,1,0,1,0,1,1,0,0,0,0,0,0.666666667,0.166666667
2,3,0,1,0,1,0,1,1,0,0,0,0,0,1.5,0.166666667
2,3,0,1,0,1,0,1,1,0,0,0,0,0,1.5,0.166666667
1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0.166666667
0.005,1.00E-04,0,0,1,0,0,0,0,0,0,0,0,0,0.02,0
1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0.416666667
2,10,0,0,1,1,0,1,0,1,1,0,0,0,5,0.416666667
0.08,0.3,0,1,0,0,0,0,0,0,0,0,0,0,3.75,0
0.0118,0.07,0,1,0,0,0,0,0,0,0,0,0,0,5.93220339,0
0.1875,0.055,0,1,0,0,1,1,0,0,0,0,0,0,0.293333333,0.166666667
0.628,0.5,0,1,0,1,0,1,0,0,0,0,0,0,0.796178344,0.083333333
0.0314,0.1,0,1,0,1,0,1,0,1,1,0,0,0,3.184713376,0.416666667
0.1884,0.25,0,0,1,1,0,0,0,0,0,0,0,0,1.326963907,0
1,2,0,1,0,1,0,0,0,1,1,0,0,0,2,0.333333333
0.1256,0.006,0,1,0,1,0,1,0,0,0,0,0,0,0.047770701,0.083333333
1,0.1,0,1,0,1,0,1,0,1,0,0,0,0,0.1,0.25
0.028,0.15,0,1,0,1,0,0,0,0,0,0,0,0,5.357142857,0
1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0.333333333
0.056,0.3,0,1,0,1,0,0,0,0,0,0,0,0,5.357142857,0
0.5652,0.07,0,1,0,1,0,1,0,1,1,0,0,0,0.123849965,0.416666667
1,0.8,0,1,0,1,0,1,0,0,0,0,0,0,0.8,0.083333333
0.1884,0.5,0,1,0,0,0,0,0,0,0,1,0,0,2.653927813,0
0.0628,0.3,0,1,0,0,0,0,0,0,0,0,0,0,4.777070064,0
0.314,0.8,0,1,0,0,0,0,0,0,0,0,0,0,2.547770701,0
0.1256,0.08,0,1,0,0,0,0,0,0,0,0,0,0,0.636942675,0
0.1884,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0.530785563,0
0.1884,0.08,0,1,0,0,0,0,0,0,0,0,0,0,0.42462845,0
0.1256,0.35,0,1,0,0,0,0,0,0,0,0,0,0,2.786624204,0
0.157,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0.636942675,0
0.2826,0.3,0,1,0,0,0,0,0,0,0,0,0,0,1.061571125,0
0.157,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0.636942675,0
0.2198,0.4,0,1,0,0,0,0,0,0,0,0,0,0,1.819836215,0
0.314,0.6,0,1,0,1,0,1,0,0,0,0,0,0,1.910828025,0.083333333
0.1256,0.08,0,1,0,0,0,0,0,0,0,0,0,0,0.636942675,0
0.2512,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0.99522293,0
0.8792,0.8,0,1,0,1,0,0,0,0,0,0,0,0,0.909918107,0
0.2512,0.3,0,1,0,0,0,0,0,0,0,0,0,0,1.194267516,0
0.1884,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
0.0628,0.2,0,1,0,0,0,0,0,0,0,0,0,0,3.184713376,0
0.5,0.8,0,1,0,0,0,0,0,0,0,0,0,0,1.6,0
0.5652,1.5,0,1,0,1,0,1,0,1,1,0,0,0,2.653927813,0.416666667
0.314,0.3,0,1,0,0,0,0,0,0,0,0,0,0,0.955414013,0
0.314,0.2,0,1,0,1,0,0,0,0,0,0,0,0,0.636942675,0
0.1256,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0.796178344,0
